Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604851,-0.676183,-2.11633,-1.83748,-0.706933,2.39392,2.83296,1.51819,0.450786
1463604853,-0.880648,-2.36969,-1.56669,-1.21107,2.29502,2.9911,1.36524,0.835819
1463604855,-0.574981,-2.00823,-0.988614,-0.525492,2.75341,3.15354,1.81926,1.21017
1463604857,-0.677904,-1.48105,-0.922831,-0.54131,2.44492,2.46261,1.06558,1.2925
1463604859,-0.91552,-2.18504,-2.25364,-1.00207,2.72673,2.84127,1.17802,1.54404
1463604861,-0.364583,-2.32301,-2.15831,-0.570847,2.62788,3.22053,2.00511,1.23185
1463604863,-0.381628,-2.05017,-1.50622,-0.478575,2.69356,3.12909,1.88201,0.458885
1463604865,-0.0981788,-2.21134,-1.69724,-0.29262,2.68583,3.62615,1.56274,0.558143
1463604867,-1.01928,-2.43119,-1.09783,-0.622012,2.89333,3.3821,1.39474,1.21094
1463604869,0.757971,-1.39176,-1.08408,-0.724299,2.65242,3.03902,1.45599,1.28432
1463604871,0.63933,-1.99126,-1.74296,-0.89074,2.34015,3.14634,1.55026,1.44855
1463604873,-0.331415,-2.01906,-1.86958,0.0889319,2.76378,3.05119,0.792785,0.863029
1463604875,-0.46824,-2.19303,-1.68593,-0.548361,2.72513,3.22778,0.941433,1.79833
1463604877,-0.962455,-2.30296,-1.88862,-0.510118,2.40785,2.97302,1.38081,2.04292
1463604879,-0.953073,-2.10818,-2.56959,-1.47633,2.54346,3.40235,0.994123,1.5937
1463604881,-0.606414,-2.30829,-1.65934,-0.746829,2.53466,3.31741,0.824891,1.4957
1463604883,-0.428746,-2.27395,-1.75171,-1.00876,2.60614,2.78546,1.00501,2.32064
1463604885,-0.626024,-2.16706,-1.38943,-1.05881,2.5405,2.77034,0.502701,1.43134
1463604887,-0.0594866,-1.92968,-2.29739,-1.08108,2.49861,2.88582,-0.0769174,1.93421
1463604889,-0.908009,-2.7385,-2.53103,-0.8115,2.74877,3.00525,0.732048,2.068
1463604891,-0.730632,-2.21943,-2.43746,-0.642784,3.02983,2.89203,1.33322,2.27351
1463604893,-1.17602,-2.62299,-2.4447,-0.770172,2.92291,2.84164,0.914104,1.5406
1463604895,-0.714626,-2.14319,-2.90985,-0.153768,3.14894,3.00361,1.00553,1.9424
1463604897,-1.17774,-2.49531,-2.7512,-0.646755,2.76222,2.72683,0.608076,1.88197
1463604899,-0.800802,-2.45556,-3.05667,-0.959066,3.03633,2.47556,1.4818,1.99706
